Apartment,Block,Distance,Name,licence_numbers,name_of_license,premise_address,address,Latitude,Longtitude
4 TOH YI DR,4,0.7265714269399103,LOTUS GROCERY,C02032A000,LOTUS GROCERY,"15 ENG KONG TERRACE, ENG KONG PARK S(598987)",15 ENG KONG TERRACE,1.33638188559532,103.768386558311
4 TOH YI DR,4,0.4463109440296779,FAIRPRICE FINEST,C02036N000,NTUC FAIRPRICE CO-OPERATIVE LTD,"1 JALAN ANAK BUKIT #B2-01,#B1-01, BUKIT TIMAH PLAZA S(588996)",1 JALAN ANAK BUKIT ,1.3386316527745,103.778585430975
4 TOH YI DR,4,0.4699377855555468,COLD STORAGE,C02048E000,COLD STORAGE SINGAPORE (1983) PTE LTD,"144 UPPER BUKIT TIMAH ROAD #B1-01, BEAUTY WORLD CENTRE S(588177)",144 UPPER BUKIT TIMAH ROAD ,1.34239284478687,103.77625052784
4 TOH YI DR,4,1.8828569731309288,-,NW06239N000,THNG SAIK MONG,"108 CLEMENTI STREET 11 #01-K1, S(120108)",108 CLEMENTI STREET 11 ,1.32212392900686,103.770265903384
4 TOH YI DR,4,1.8378172992685275,COLD STORAGE,NW08141P000,COLD STORAGE SINGAPORE (1983) PTE LTD,"41 SUNSET WAY #01-01A, CLEMENTI ARCADE S(597071)",41 SUNSET WAY ,1.32355286918436,103.767515486547
4 TOH YI DR,4,1.394182351496558,RYAN'S GROCERY,NW15264K000,ALTERNATIVE SELECTION PTE. LTD.,"29 BINJAI PARK, BINJAI PARK S(589831)",29 BINJAI PARK,1.33661378718238,103.786974822749
4 TOH YI DR,4,1.035635446992793,COLD STORAGE,NW15295X000,COLD STORAGE SINGAPORE (1983) PTE LTD,"896 DUNEARN ROAD #02-01, SIME DARBY CENTRE S(589472)",896 DUNEARN ROAD ,1.33667573740597,103.783709151645
4 TOH YI DR,4,1.035635446992793,COLD STORAGE,NW15295X000,COLD STORAGE SINGAPORE (1983) PTE LTD,"896 DUNEARN ROAD #02-01, SIME DARBY CENTRE S(589472)",896 DUNEARN ROAD ,1.33667573740597,103.783709151645
4 TOH YI DR,4,1.035635446992793,Meat United,SNW20069V000,MEAT UNITED PRIVATE LIMITED,"896 DUNEARN ROAD #01-08, LINK@896 S(589472)",896 DUNEARN ROAD ,1.33667573740597,103.783709151645
4 TOH YI DR,4,1.035635446992793,Meat United,SNW20069V000,MEAT UNITED PRIVATE LIMITED,"896 DUNEARN ROAD #01-08, LINK@896 S(589472)",896 DUNEARN ROAD ,1.33667573740597,103.783709151645
4 TOH YI DR,4,0.7378254666370397,Neue Mart,SNW20076A000,NM EK PTE. LTD.,"19 ENG KONG TERRACE, ENG KONG PARK S(598991)",19 ENG KONG TERRACE,1.3364085024668,103.768270552015
4 TOH YI DR,4,0.7372443185228957,THYME TO MEAT,SNW20086X000,THYME TO MEAT PRIVATE LIMITED,"27 ENG KONG TERRACE, ENG KONG PARK (1st Storey) S(598999)",27 ENG KONG TERRACE,1.3361924255042,103.768352501927
4 TOH YI DR,4,0.2603156499625448,LOTTE KOREAN MART,SW06806E000,LOTTE MART PTE. LTD.,"17 LORONG KILAT #01-02, KILAT COURT S(598139)",17 LORONG KILAT ,1.34082770311651,103.774215677961
4 TOH YI DR,4,0.39598909860609144,SEOUL BUTCHERY,SW18715E000,SEOUL BUTCHERY PTE. LTD.,"13 YUK TONG AVENUE, CHUN TIN COURT S(596318)",13 YUK TONG AVENUE,1.34207496392367,103.774632794309
4 TOH YI DR,4,0.7265714269399103,LOTUS GROCERY,C02032A000,LOTUS GROCERY,"15 ENG KONG TERRACE, ENG KONG PARK S(598987)",15 ENG KONG TERRACE,1.33638188559532,103.768386558311
4 TOH YI DR,4,0.4463109440296779,FAIRPRICE FINEST,C02036N000,NTUC FAIRPRICE CO-OPERATIVE LTD,"1 JALAN ANAK BUKIT #B2-01,#B1-01, BUKIT TIMAH PLAZA S(588996)",1 JALAN ANAK BUKIT ,1.3386316527745,103.778585430975
4 TOH YI DR,4,0.4699377855555468,COLD STORAGE,C02048E000,COLD STORAGE SINGAPORE (1983) PTE LTD,"144 UPPER BUKIT TIMAH ROAD #B1-01, BEAUTY WORLD CENTRE S(588177)",144 UPPER BUKIT TIMAH ROAD ,1.34239284478687,103.77625052784
4 TOH YI DR,4,1.8828569731309288,-,NW06239N000,THNG SAIK MONG,"108 CLEMENTI STREET 11 #01-K1, S(120108)",108 CLEMENTI STREET 11 ,1.32212392900686,103.770265903384
4 TOH YI DR,4,1.8378172992685275,COLD STORAGE,NW08141P000,COLD STORAGE SINGAPORE (1983) PTE LTD,"41 SUNSET WAY #01-01A, CLEMENTI ARCADE S(597071)",41 SUNSET WAY ,1.32355286918436,103.767515486547
4 TOH YI DR,4,1.394182351496558,RYAN'S GROCERY,NW15264K000,ALTERNATIVE SELECTION PTE. LTD.,"29 BINJAI PARK, BINJAI PARK S(589831)",29 BINJAI PARK,1.33661378718238,103.786974822749
4 TOH YI DR,4,1.035635446992793,COLD STORAGE,NW15295X000,COLD STORAGE SINGAPORE (1983) PTE LTD,"896 DUNEARN ROAD #02-01, SIME DARBY CENTRE S(589472)",896 DUNEARN ROAD ,1.33667573740597,103.783709151645
4 TOH YI DR,4,1.035635446992793,COLD STORAGE,NW15295X000,COLD STORAGE SINGAPORE (1983) PTE LTD,"896 DUNEARN ROAD #02-01, SIME DARBY CENTRE S(589472)",896 DUNEARN ROAD ,1.33667573740597,103.783709151645
4 TOH YI DR,4,1.035635446992793,Meat United,SNW20069V000,MEAT UNITED PRIVATE LIMITED,"896 DUNEARN ROAD #01-08, LINK@896 S(589472)",896 DUNEARN ROAD ,1.33667573740597,103.783709151645
4 TOH YI DR,4,1.035635446992793,Meat United,SNW20069V000,MEAT UNITED PRIVATE LIMITED,"896 DUNEARN ROAD #01-08, LINK@896 S(589472)",896 DUNEARN ROAD ,1.33667573740597,103.783709151645
4 TOH YI DR,4,0.7378254666370397,Neue Mart,SNW20076A000,NM EK PTE. LTD.,"19 ENG KONG TERRACE, ENG KONG PARK S(598991)",19 ENG KONG TERRACE,1.3364085024668,103.768270552015
4 TOH YI DR,4,0.7372443185228957,THYME TO MEAT,SNW20086X000,THYME TO MEAT PRIVATE LIMITED,"27 ENG KONG TERRACE, ENG KONG PARK (1st Storey) S(598999)",27 ENG KONG TERRACE,1.3361924255042,103.768352501927
4 TOH YI DR,4,0.2603156499625448,LOTTE KOREAN MART,SW06806E000,LOTTE MART PTE. LTD.,"17 LORONG KILAT #01-02, KILAT COURT S(598139)",17 LORONG KILAT ,1.34082770311651,103.774215677961
4 TOH YI DR,4,0.39598909860609144,SEOUL BUTCHERY,SW18715E000,SEOUL BUTCHERY PTE. LTD.,"13 YUK TONG AVENUE, CHUN TIN COURT S(596318)",13 YUK TONG AVENUE,1.34207496392367,103.774632794309
4 TOH YI DR,4,0.7265714269399103,LOTUS GROCERY,C02032A000,LOTUS GROCERY,"15 ENG KONG TERRACE, ENG KONG PARK S(598987)",15 ENG KONG TERRACE,1.33638188559532,103.768386558311
4 TOH YI DR,4,0.4463109440296779,FAIRPRICE FINEST,C02036N000,NTUC FAIRPRICE CO-OPERATIVE LTD,"1 JALAN ANAK BUKIT #B2-01,#B1-01, BUKIT TIMAH PLAZA S(588996)",1 JALAN ANAK BUKIT ,1.3386316527745,103.778585430975
4 TOH YI DR,4,0.4699377855555468,COLD STORAGE,C02048E000,COLD STORAGE SINGAPORE (1983) PTE LTD,"144 UPPER BUKIT TIMAH ROAD #B1-01, BEAUTY WORLD CENTRE S(588177)",144 UPPER BUKIT TIMAH ROAD ,1.34239284478687,103.77625052784
4 TOH YI DR,4,1.8828569731309288,-,NW06239N000,THNG SAIK MONG,"108 CLEMENTI STREET 11 #01-K1, S(120108)",108 CLEMENTI STREET 11 ,1.32212392900686,103.770265903384
4 TOH YI DR,4,1.8378172992685275,COLD STORAGE,NW08141P000,COLD STORAGE SINGAPORE (1983) PTE LTD,"41 SUNSET WAY #01-01A, CLEMENTI ARCADE S(597071)",41 SUNSET WAY ,1.32355286918436,103.767515486547
4 TOH YI DR,4,1.394182351496558,RYAN'S GROCERY,NW15264K000,ALTERNATIVE SELECTION PTE. LTD.,"29 BINJAI PARK, BINJAI PARK S(589831)",29 BINJAI PARK,1.33661378718238,103.786974822749
4 TOH YI DR,4,1.035635446992793,COLD STORAGE,NW15295X000,COLD STORAGE SINGAPORE (1983) PTE LTD,"896 DUNEARN ROAD #02-01, SIME DARBY CENTRE S(589472)",896 DUNEARN ROAD ,1.33667573740597,103.783709151645
4 TOH YI DR,4,1.035635446992793,COLD STORAGE,NW15295X000,COLD STORAGE SINGAPORE (1983) PTE LTD,"896 DUNEARN ROAD #02-01, SIME DARBY CENTRE S(589472)",896 DUNEARN ROAD ,1.33667573740597,103.783709151645
4 TOH YI DR,4,1.035635446992793,Meat United,SNW20069V000,MEAT UNITED PRIVATE LIMITED,"896 DUNEARN ROAD #01-08, LINK@896 S(589472)",896 DUNEARN ROAD ,1.33667573740597,103.783709151645
4 TOH YI DR,4,1.035635446992793,Meat United,SNW20069V000,MEAT UNITED PRIVATE LIMITED,"896 DUNEARN ROAD #01-08, LINK@896 S(589472)",896 DUNEARN ROAD ,1.33667573740597,103.783709151645
4 TOH YI DR,4,0.7378254666370397,Neue Mart,SNW20076A000,NM EK PTE. LTD.,"19 ENG KONG TERRACE, ENG KONG PARK S(598991)",19 ENG KONG TERRACE,1.3364085024668,103.768270552015
4 TOH YI DR,4,0.7372443185228957,THYME TO MEAT,SNW20086X000,THYME TO MEAT PRIVATE LIMITED,"27 ENG KONG TERRACE, ENG KONG PARK (1st Storey) S(598999)",27 ENG KONG TERRACE,1.3361924255042,103.768352501927
4 TOH YI DR,4,0.2603156499625448,LOTTE KOREAN MART,SW06806E000,LOTTE MART PTE. LTD.,"17 LORONG KILAT #01-02, KILAT COURT S(598139)",17 LORONG KILAT ,1.34082770311651,103.774215677961
4 TOH YI DR,4,0.39598909860609144,SEOUL BUTCHERY,SW18715E000,SEOUL BUTCHERY PTE. LTD.,"13 YUK TONG AVENUE, CHUN TIN COURT S(596318)",13 YUK TONG AVENUE,1.34207496392367,103.774632794309
4 TOH YI DR,4,0.7265714269399103,LOTUS GROCERY,C02032A000,LOTUS GROCERY,"15 ENG KONG TERRACE, ENG KONG PARK S(598987)",15 ENG KONG TERRACE,1.33638188559532,103.768386558311
4 TOH YI DR,4,0.4463109440296779,FAIRPRICE FINEST,C02036N000,NTUC FAIRPRICE CO-OPERATIVE LTD,"1 JALAN ANAK BUKIT #B2-01,#B1-01, BUKIT TIMAH PLAZA S(588996)",1 JALAN ANAK BUKIT ,1.3386316527745,103.778585430975
4 TOH YI DR,4,0.4699377855555468,COLD STORAGE,C02048E000,COLD STORAGE SINGAPORE (1983) PTE LTD,"144 UPPER BUKIT TIMAH ROAD #B1-01, BEAUTY WORLD CENTRE S(588177)",144 UPPER BUKIT TIMAH ROAD ,1.34239284478687,103.77625052784
4 TOH YI DR,4,1.8828569731309288,-,NW06239N000,THNG SAIK MONG,"108 CLEMENTI STREET 11 #01-K1, S(120108)",108 CLEMENTI STREET 11 ,1.32212392900686,103.770265903384
4 TOH YI DR,4,1.8378172992685275,COLD STORAGE,NW08141P000,COLD STORAGE SINGAPORE (1983) PTE LTD,"41 SUNSET WAY #01-01A, CLEMENTI ARCADE S(597071)",41 SUNSET WAY ,1.32355286918436,103.767515486547
4 TOH YI DR,4,1.394182351496558,RYAN'S GROCERY,NW15264K000,ALTERNATIVE SELECTION PTE. LTD.,"29 BINJAI PARK, BINJAI PARK S(589831)",29 BINJAI PARK,1.33661378718238,103.786974822749
4 TOH YI DR,4,1.035635446992793,COLD STORAGE,NW15295X000,COLD STORAGE SINGAPORE (1983) PTE LTD,"896 DUNEARN ROAD #02-01, SIME DARBY CENTRE S(589472)",896 DUNEARN ROAD ,1.33667573740597,103.783709151645
4 TOH YI DR,4,1.035635446992793,COLD STORAGE,NW15295X000,COLD STORAGE SINGAPORE (1983) PTE LTD,"896 DUNEARN ROAD #02-01, SIME DARBY CENTRE S(589472)",896 DUNEARN ROAD ,1.33667573740597,103.783709151645
4 TOH YI DR,4,1.035635446992793,Meat United,SNW20069V000,MEAT UNITED PRIVATE LIMITED,"896 DUNEARN ROAD #01-08, LINK@896 S(589472)",896 DUNEARN ROAD ,1.33667573740597,103.783709151645
4 TOH YI DR,4,1.035635446992793,Meat United,SNW20069V000,MEAT UNITED PRIVATE LIMITED,"896 DUNEARN ROAD #01-08, LINK@896 S(589472)",896 DUNEARN ROAD ,1.33667573740597,103.783709151645
4 TOH YI DR,4,0.7378254666370397,Neue Mart,SNW20076A000,NM EK PTE. LTD.,"19 ENG KONG TERRACE, ENG KONG PARK S(598991)",19 ENG KONG TERRACE,1.3364085024668,103.768270552015
4 TOH YI DR,4,0.7372443185228957,THYME TO MEAT,SNW20086X000,THYME TO MEAT PRIVATE LIMITED,"27 ENG KONG TERRACE, ENG KONG PARK (1st Storey) S(598999)",27 ENG KONG TERRACE,1.3361924255042,103.768352501927
4 TOH YI DR,4,0.2603156499625448,LOTTE KOREAN MART,SW06806E000,LOTTE MART PTE. LTD.,"17 LORONG KILAT #01-02, KILAT COURT S(598139)",17 LORONG KILAT ,1.34082770311651,103.774215677961
4 TOH YI DR,4,0.39598909860609144,SEOUL BUTCHERY,SW18715E000,SEOUL BUTCHERY PTE. LTD.,"13 YUK TONG AVENUE, CHUN TIN COURT S(596318)",13 YUK TONG AVENUE,1.34207496392367,103.774632794309
4 TOH YI DR,4,0.7265714269399103,LOTUS GROCERY,C02032A000,LOTUS GROCERY,"15 ENG KONG TERRACE, ENG KONG PARK S(598987)",15 ENG KONG TERRACE,1.33638188559532,103.768386558311
4 TOH YI DR,4,0.4463109440296779,FAIRPRICE FINEST,C02036N000,NTUC FAIRPRICE CO-OPERATIVE LTD,"1 JALAN ANAK BUKIT #B2-01,#B1-01, BUKIT TIMAH PLAZA S(588996)",1 JALAN ANAK BUKIT ,1.3386316527745,103.778585430975
4 TOH YI DR,4,0.4699377855555468,COLD STORAGE,C02048E000,COLD STORAGE SINGAPORE (1983) PTE LTD,"144 UPPER BUKIT TIMAH ROAD #B1-01, BEAUTY WORLD CENTRE S(588177)",144 UPPER BUKIT TIMAH ROAD ,1.34239284478687,103.77625052784
4 TOH YI DR,4,1.8828569731309288,-,NW06239N000,THNG SAIK MONG,"108 CLEMENTI STREET 11 #01-K1, S(120108)",108 CLEMENTI STREET 11 ,1.32212392900686,103.770265903384
4 TOH YI DR,4,1.8378172992685275,COLD STORAGE,NW08141P000,COLD STORAGE SINGAPORE (1983) PTE LTD,"41 SUNSET WAY #01-01A, CLEMENTI ARCADE S(597071)",41 SUNSET WAY ,1.32355286918436,103.767515486547
4 TOH YI DR,4,1.394182351496558,RYAN'S GROCERY,NW15264K000,ALTERNATIVE SELECTION PTE. LTD.,"29 BINJAI PARK, BINJAI PARK S(589831)",29 BINJAI PARK,1.33661378718238,103.786974822749
4 TOH YI DR,4,1.035635446992793,COLD STORAGE,NW15295X000,COLD STORAGE SINGAPORE (1983) PTE LTD,"896 DUNEARN ROAD #02-01, SIME DARBY CENTRE S(589472)",896 DUNEARN ROAD ,1.33667573740597,103.783709151645
4 TOH YI DR,4,1.035635446992793,COLD STORAGE,NW15295X000,COLD STORAGE SINGAPORE (1983) PTE LTD,"896 DUNEARN ROAD #02-01, SIME DARBY CENTRE S(589472)",896 DUNEARN ROAD ,1.33667573740597,103.783709151645
4 TOH YI DR,4,1.035635446992793,Meat United,SNW20069V000,MEAT UNITED PRIVATE LIMITED,"896 DUNEARN ROAD #01-08, LINK@896 S(589472)",896 DUNEARN ROAD ,1.33667573740597,103.783709151645
4 TOH YI DR,4,1.035635446992793,Meat United,SNW20069V000,MEAT UNITED PRIVATE LIMITED,"896 DUNEARN ROAD #01-08, LINK@896 S(589472)",896 DUNEARN ROAD ,1.33667573740597,103.783709151645
4 TOH YI DR,4,0.7378254666370397,Neue Mart,SNW20076A000,NM EK PTE. LTD.,"19 ENG KONG TERRACE, ENG KONG PARK S(598991)",19 ENG KONG TERRACE,1.3364085024668,103.768270552015
4 TOH YI DR,4,0.7372443185228957,THYME TO MEAT,SNW20086X000,THYME TO MEAT PRIVATE LIMITED,"27 ENG KONG TERRACE, ENG KONG PARK (1st Storey) S(598999)",27 ENG KONG TERRACE,1.3361924255042,103.768352501927
4 TOH YI DR,4,0.2603156499625448,LOTTE KOREAN MART,SW06806E000,LOTTE MART PTE. LTD.,"17 LORONG KILAT #01-02, KILAT COURT S(598139)",17 LORONG KILAT ,1.34082770311651,103.774215677961
4 TOH YI DR,4,0.39598909860609144,SEOUL BUTCHERY,SW18715E000,SEOUL BUTCHERY PTE. LTD.,"13 YUK TONG AVENUE, CHUN TIN COURT S(596318)",13 YUK TONG AVENUE,1.34207496392367,103.774632794309
4 TOH YI DR,4,0.7265714269399103,LOTUS GROCERY,C02032A000,LOTUS GROCERY,"15 ENG KONG TERRACE, ENG KONG PARK S(598987)",15 ENG KONG TERRACE,1.33638188559532,103.768386558311
4 TOH YI DR,4,0.4463109440296779,FAIRPRICE FINEST,C02036N000,NTUC FAIRPRICE CO-OPERATIVE LTD,"1 JALAN ANAK BUKIT #B2-01,#B1-01, BUKIT TIMAH PLAZA S(588996)",1 JALAN ANAK BUKIT ,1.3386316527745,103.778585430975
4 TOH YI DR,4,0.4699377855555468,COLD STORAGE,C02048E000,COLD STORAGE SINGAPORE (1983) PTE LTD,"144 UPPER BUKIT TIMAH ROAD #B1-01, BEAUTY WORLD CENTRE S(588177)",144 UPPER BUKIT TIMAH ROAD ,1.34239284478687,103.77625052784
4 TOH YI DR,4,1.8828569731309288,-,NW06239N000,THNG SAIK MONG,"108 CLEMENTI STREET 11 #01-K1, S(120108)",108 CLEMENTI STREET 11 ,1.32212392900686,103.770265903384
4 TOH YI DR,4,1.8378172992685275,COLD STORAGE,NW08141P000,COLD STORAGE SINGAPORE (1983) PTE LTD,"41 SUNSET WAY #01-01A, CLEMENTI ARCADE S(597071)",41 SUNSET WAY ,1.32355286918436,103.767515486547
4 TOH YI DR,4,1.394182351496558,RYAN'S GROCERY,NW15264K000,ALTERNATIVE SELECTION PTE. LTD.,"29 BINJAI PARK, BINJAI PARK S(589831)",29 BINJAI PARK,1.33661378718238,103.786974822749
4 TOH YI DR,4,1.035635446992793,COLD STORAGE,NW15295X000,COLD STORAGE SINGAPORE (1983) PTE LTD,"896 DUNEARN ROAD #02-01, SIME DARBY CENTRE S(589472)",896 DUNEARN ROAD ,1.33667573740597,103.783709151645
4 TOH YI DR,4,1.035635446992793,COLD STORAGE,NW15295X000,COLD STORAGE SINGAPORE (1983) PTE LTD,"896 DUNEARN ROAD #02-01, SIME DARBY CENTRE S(589472)",896 DUNEARN ROAD ,1.33667573740597,103.783709151645
4 TOH YI DR,4,1.035635446992793,Meat United,SNW20069V000,MEAT UNITED PRIVATE LIMITED,"896 DUNEARN ROAD #01-08, LINK@896 S(589472)",896 DUNEARN ROAD ,1.33667573740597,103.783709151645
4 TOH YI DR,4,1.035635446992793,Meat United,SNW20069V000,MEAT UNITED PRIVATE LIMITED,"896 DUNEARN ROAD #01-08, LINK@896 S(589472)",896 DUNEARN ROAD ,1.33667573740597,103.783709151645
4 TOH YI DR,4,0.7378254666370397,Neue Mart,SNW20076A000,NM EK PTE. LTD.,"19 ENG KONG TERRACE, ENG KONG PARK S(598991)",19 ENG KONG TERRACE,1.3364085024668,103.768270552015
4 TOH YI DR,4,0.7372443185228957,THYME TO MEAT,SNW20086X000,THYME TO MEAT PRIVATE LIMITED,"27 ENG KONG TERRACE, ENG KONG PARK (1st Storey) S(598999)",27 ENG KONG TERRACE,1.3361924255042,103.768352501927
4 TOH YI DR,4,0.2603156499625448,LOTTE KOREAN MART,SW06806E000,LOTTE MART PTE. LTD.,"17 LORONG KILAT #01-02, KILAT COURT S(598139)",17 LORONG KILAT ,1.34082770311651,103.774215677961
4 TOH YI DR,4,0.39598909860609144,SEOUL BUTCHERY,SW18715E000,SEOUL BUTCHERY PTE. LTD.,"13 YUK TONG AVENUE, CHUN TIN COURT S(596318)",13 YUK TONG AVENUE,1.34207496392367,103.774632794309
4 TOH YI DR,4,0.7265714269399103,LOTUS GROCERY,C02032A000,LOTUS GROCERY,"15 ENG KONG TERRACE, ENG KONG PARK S(598987)",15 ENG KONG TERRACE,1.33638188559532,103.768386558311
4 TOH YI DR,4,0.4463109440296779,FAIRPRICE FINEST,C02036N000,NTUC FAIRPRICE CO-OPERATIVE LTD,"1 JALAN ANAK BUKIT #B2-01,#B1-01, BUKIT TIMAH PLAZA S(588996)",1 JALAN ANAK BUKIT ,1.3386316527745,103.778585430975
4 TOH YI DR,4,0.4699377855555468,COLD STORAGE,C02048E000,COLD STORAGE SINGAPORE (1983) PTE LTD,"144 UPPER BUKIT TIMAH ROAD #B1-01, BEAUTY WORLD CENTRE S(588177)",144 UPPER BUKIT TIMAH ROAD ,1.34239284478687,103.77625052784
4 TOH YI DR,4,1.8828569731309288,-,NW06239N000,THNG SAIK MONG,"108 CLEMENTI STREET 11 #01-K1, S(120108)",108 CLEMENTI STREET 11 ,1.32212392900686,103.770265903384
4 TOH YI DR,4,1.8378172992685275,COLD STORAGE,NW08141P000,COLD STORAGE SINGAPORE (1983) PTE LTD,"41 SUNSET WAY #01-01A, CLEMENTI ARCADE S(597071)",41 SUNSET WAY ,1.32355286918436,103.767515486547
4 TOH YI DR,4,1.394182351496558,RYAN'S GROCERY,NW15264K000,ALTERNATIVE SELECTION PTE. LTD.,"29 BINJAI PARK, BINJAI PARK S(589831)",29 BINJAI PARK,1.33661378718238,103.786974822749
4 TOH YI DR,4,1.035635446992793,COLD STORAGE,NW15295X000,COLD STORAGE SINGAPORE (1983) PTE LTD,"896 DUNEARN ROAD #02-01, SIME DARBY CENTRE S(589472)",896 DUNEARN ROAD ,1.33667573740597,103.783709151645
4 TOH YI DR,4,1.035635446992793,COLD STORAGE,NW15295X000,COLD STORAGE SINGAPORE (1983) PTE LTD,"896 DUNEARN ROAD #02-01, SIME DARBY CENTRE S(589472)",896 DUNEARN ROAD ,1.33667573740597,103.783709151645
4 TOH YI DR,4,1.035635446992793,Meat United,SNW20069V000,MEAT UNITED PRIVATE LIMITED,"896 DUNEARN ROAD #01-08, LINK@896 S(589472)",896 DUNEARN ROAD ,1.33667573740597,103.783709151645
4 TOH YI DR,4,1.035635446992793,Meat United,SNW20069V000,MEAT UNITED PRIVATE LIMITED,"896 DUNEARN ROAD #01-08, LINK@896 S(589472)",896 DUNEARN ROAD ,1.33667573740597,103.783709151645
4 TOH YI DR,4,0.7378254666370397,Neue Mart,SNW20076A000,NM EK PTE. LTD.,"19 ENG KONG TERRACE, ENG KONG PARK S(598991)",19 ENG KONG TERRACE,1.3364085024668,103.768270552015
4 TOH YI DR,4,0.7372443185228957,THYME TO MEAT,SNW20086X000,THYME TO MEAT PRIVATE LIMITED,"27 ENG KONG TERRACE, ENG KONG PARK (1st Storey) S(598999)",27 ENG KONG TERRACE,1.3361924255042,103.768352501927
4 TOH YI DR,4,0.2603156499625448,LOTTE KOREAN MART,SW06806E000,LOTTE MART PTE. LTD.,"17 LORONG KILAT #01-02, KILAT COURT S(598139)",17 LORONG KILAT ,1.34082770311651,103.774215677961
4 TOH YI DR,4,0.39598909860609144,SEOUL BUTCHERY,SW18715E000,SEOUL BUTCHERY PTE. LTD.,"13 YUK TONG AVENUE, CHUN TIN COURT S(596318)",13 YUK TONG AVENUE,1.34207496392367,103.774632794309
4 TOH YI DR,4,0.7265714269399103,LOTUS GROCERY,C02032A000,LOTUS GROCERY,"15 ENG KONG TERRACE, ENG KONG PARK S(598987)",15 ENG KONG TERRACE,1.33638188559532,103.768386558311
4 TOH YI DR,4,0.4463109440296779,FAIRPRICE FINEST,C02036N000,NTUC FAIRPRICE CO-OPERATIVE LTD,"1 JALAN ANAK BUKIT #B2-01,#B1-01, BUKIT TIMAH PLAZA S(588996)",1 JALAN ANAK BUKIT ,1.3386316527745,103.778585430975
4 TOH YI DR,4,0.4699377855555468,COLD STORAGE,C02048E000,COLD STORAGE SINGAPORE (1983) PTE LTD,"144 UPPER BUKIT TIMAH ROAD #B1-01, BEAUTY WORLD CENTRE S(588177)",144 UPPER BUKIT TIMAH ROAD ,1.34239284478687,103.77625052784
4 TOH YI DR,4,1.8828569731309288,-,NW06239N000,THNG SAIK MONG,"108 CLEMENTI STREET 11 #01-K1, S(120108)",108 CLEMENTI STREET 11 ,1.32212392900686,103.770265903384
4 TOH YI DR,4,1.8378172992685275,COLD STORAGE,NW08141P000,COLD STORAGE SINGAPORE (1983) PTE LTD,"41 SUNSET WAY #01-01A, CLEMENTI ARCADE S(597071)",41 SUNSET WAY ,1.32355286918436,103.767515486547
4 TOH YI DR,4,1.394182351496558,RYAN'S GROCERY,NW15264K000,ALTERNATIVE SELECTION PTE. LTD.,"29 BINJAI PARK, BINJAI PARK S(589831)",29 BINJAI PARK,1.33661378718238,103.786974822749
4 TOH YI DR,4,1.035635446992793,COLD STORAGE,NW15295X000,COLD STORAGE SINGAPORE (1983) PTE LTD,"896 DUNEARN ROAD #02-01, SIME DARBY CENTRE S(589472)",896 DUNEARN ROAD ,1.33667573740597,103.783709151645
4 TOH YI DR,4,1.035635446992793,COLD STORAGE,NW15295X000,COLD STORAGE SINGAPORE (1983) PTE LTD,"896 DUNEARN ROAD #02-01, SIME DARBY CENTRE S(589472)",896 DUNEARN ROAD ,1.33667573740597,103.783709151645
4 TOH YI DR,4,1.035635446992793,Meat United,SNW20069V000,MEAT UNITED PRIVATE LIMITED,"896 DUNEARN ROAD #01-08, LINK@896 S(589472)",896 DUNEARN ROAD ,1.33667573740597,103.783709151645
4 TOH YI DR,4,1.035635446992793,Meat United,SNW20069V000,MEAT UNITED PRIVATE LIMITED,"896 DUNEARN ROAD #01-08, LINK@896 S(589472)",896 DUNEARN ROAD ,1.33667573740597,103.783709151645
4 TOH YI DR,4,0.7378254666370397,Neue Mart,SNW20076A000,NM EK PTE. LTD.,"19 ENG KONG TERRACE, ENG KONG PARK S(598991)",19 ENG KONG TERRACE,1.3364085024668,103.768270552015
4 TOH YI DR,4,0.7372443185228957,THYME TO MEAT,SNW20086X000,THYME TO MEAT PRIVATE LIMITED,"27 ENG KONG TERRACE, ENG KONG PARK (1st Storey) S(598999)",27 ENG KONG TERRACE,1.3361924255042,103.768352501927
4 TOH YI DR,4,0.2603156499625448,LOTTE KOREAN MART,SW06806E000,LOTTE MART PTE. LTD.,"17 LORONG KILAT #01-02, KILAT COURT S(598139)",17 LORONG KILAT ,1.34082770311651,103.774215677961
4 TOH YI DR,4,0.39598909860609144,SEOUL BUTCHERY,SW18715E000,SEOUL BUTCHERY PTE. LTD.,"13 YUK TONG AVENUE, CHUN TIN COURT S(596318)",13 YUK TONG AVENUE,1.34207496392367,103.774632794309
4 TOH YI DR,4,0.7265714269399103,LOTUS GROCERY,C02032A000,LOTUS GROCERY,"15 ENG KONG TERRACE, ENG KONG PARK S(598987)",15 ENG KONG TERRACE,1.33638188559532,103.768386558311
4 TOH YI DR,4,0.4463109440296779,FAIRPRICE FINEST,C02036N000,NTUC FAIRPRICE CO-OPERATIVE LTD,"1 JALAN ANAK BUKIT #B2-01,#B1-01, BUKIT TIMAH PLAZA S(588996)",1 JALAN ANAK BUKIT ,1.3386316527745,103.778585430975
4 TOH YI DR,4,0.4699377855555468,COLD STORAGE,C02048E000,COLD STORAGE SINGAPORE (1983) PTE LTD,"144 UPPER BUKIT TIMAH ROAD #B1-01, BEAUTY WORLD CENTRE S(588177)",144 UPPER BUKIT TIMAH ROAD ,1.34239284478687,103.77625052784
